[(616, 273), (672, 337)]
[(450, 276), (506, 342)]
[(452, 275), (504, 334)]
[(448, 276), (512, 337)]
[(448, 272), (511, 337)]
[(452, 274), (514, 344)]
[(450, 277), (507, 340)]
[(449, 272), (514, 338)]
[(452, 273), (510, 339)]
[(449, 270), (510, 340)]
[(453, 273), (510, 336)]
[(453, 275), (514, 345)]
[(450, 276), (512, 337)]
[(448, 271), (513, 343)]
[(451, 275), (515, 345)]
[(446, 276), (515, 344)]
[(451, 280), (518, 342)]
[(449, 277), (519, 346)]
[(447, 277), (511, 342)]
[(446, 274), (512, 342)]
[(454, 278), (517, 346)]
[(446, 278), (509, 338)]
[(449, 272), (511, 339)]
[(448, 273), (517, 344)]
[(450, 275), (514, 347)]
[(445, 277), (518, 342)]
[(449, 275), (513, 344)]
[(455, 276), (514, 345)]
[(455, 274), (517, 346)]
[(447, 275), (520, 349)]
[(446, 276), (513, 343)]
[(452, 281), (514, 345)]
[(450, 279), (513, 345)]
[(447, 275), (514, 343)]
[(449, 280), (517, 346)]
[(452, 281), (514, 344)]
[(448, 278), (511, 347)]
[(449, 280), (514, 343)]
[(451, 281), (518, 348)]
[(442, 279), (514, 347)]
[(454, 280), (520, 348)]
[(449, 279), (512, 346)]
[(452, 278), (511, 348)]
[(453, 280), (513, 344)]
[(451, 281), (512, 349)]
[(455, 280), (516, 347)]
[(448, 280), (513, 348)]
[(450, 285), (512, 351)]
[(447, 280), (512, 347)]
[(452, 283), (509, 341)]
[(447, 284), (517, 350)]
[(440, 278), (511, 347)]
[(449, 281), (507, 350)]
[(443, 284), (508, 347)]
[(446, 282), (512, 347)]
[(436, 279), (512, 354)]
[(439, 279), (507, 348)]
[(442, 280), (515, 348)]
[(439, 279), (509, 352)]
[(439, 282), (515, 352)]
[(442, 276), (513, 349)]
[(437, 280), (522, 356)]
[(441, 279), (521, 354)]
[(435, 279), (522, 355)]
[(438, 282), (523, 362)]
[(437, 283), (519, 365)]
[(430, 278), (519, 362)]
[(443, 278), (514, 355)]
[(445, 282), (505, 351)]
[(436, 276), (520, 360)]
[(436, 277), (515, 363)]
[(443, 282), (500, 356)]
[(429, 272), (512, 353)]
[(438, 277), (516, 355)]
[(434, 269), (513, 358)]
[(434, 271), (513, 356)]
[(434, 275), (508, 361)]
[(438, 276), (510, 362)]
[(440, 286), (510, 362)]
[(432, 279), (506, 363)]
[(437, 281), (506, 363)]
[(440, 287), (504, 359)]
[(437, 282), (511, 366)]
[(439, 284), (518, 376)]
[(432, 283), (512, 363)]
[(433, 281), (513, 362)]
[(440, 282), (497, 363)]
[(435, 284), (505, 364)]
[(437, 286), (504, 361)]
[(439, 284), (503, 360)]
[(435, 280), (505, 360)]
[(434, 285), (512, 361)]
[(432, 283), (503, 356)]
[(430, 281), (497, 359)]
[(427, 284), (497, 364)]
[(433, 284), (497, 359)]
[(429, 288), (494, 362)]
[(428, 284), (499, 362)]
[(434, 283), (500, 363)]
[(432, 279), (495, 356)]
[(425, 287), (499, 359)]
[(432, 280), (495, 356)]
[(427, 278), (500, 355)]
[(432, 290), (492, 362)]
[(418, 276), (506, 368)]
[(425, 283), (495, 363)]
[(419, 285), (503, 367)]
[(425, 279), (497, 362)]
[(423, 284), (495, 357)]
[(420, 272), (501, 370)]
[(415, 284), (497, 368)]
[(411, 285), (499, 375)]
[(405, 287), (501, 370)]
[(412, 290), (500, 367)]
[(417, 280), (491, 368)]
[(421, 285), (487, 367)]
[(416, 292), (492, 361)]
[(412, 283), (487, 365)]
[(417, 279), (487, 368)]
[(419, 284), (487, 363)]
[(431, 286), (491, 365)]
[(424, 284), (489, 370)]
[(419, 283), (492, 364)]
[(426, 280), (490, 365)]
[(421, 282), (488, 368)]
[(415, 282), (492, 369)]
[(416, 285), (489, 366)]
[(422, 285), (487, 371)]
[(415, 286), (493, 369)]
[(408, 276), (489, 367)]
[(411, 282), (493, 370)]
[(408, 282), (486, 368)]
[(410, 280), (486, 371)]
[(414, 286), (488, 375)]
[(411, 282), (495, 374)]
[(413, 287), (492, 379)]
[(411, 290), (495, 370)]
[(405, 284), (477, 372)]
[(417, 287), (485, 375)]
[(409, 290), (485, 371)]
[(414, 286), (483, 368)]
[(415, 288), (481, 371)]
[(411, 286), (488, 373)]
[(402, 280), (488, 371)]
[(408, 281), (479, 369)]
[(408, 290), (487, 378)]
[(402, 281), (490, 377)]
[(403, 282), (484, 368)]
[(402, 280), (485, 378)]
[(405, 279), (483, 377)]
[(398, 276), (486, 383)]
[(401, 282), (485, 378)]
[(406, 278), (479, 373)]
[(409, 284), (481, 371)]
[(411, 280), (484, 375)]
[(416, 285), (484, 381)]
[(414, 287), (481, 373)]
[(417, 282), (482, 376)]
[(409, 285), (478, 374)]
[(411, 287), (487, 378)]
[(415, 286), (488, 382)]
[(414, 285), (482, 381)]
[(415, 286), (482, 380)]
[(414, 285), (479, 373)]
[(408, 276), (479, 384)]
[(411, 284), (488, 374)]
[(411, 290), (482, 385)]
[(409, 282), (476, 374)]
[(405, 282), (480, 381)]
[(410, 285), (483, 376)]
[(414, 283), (475, 374)]
[(406, 281), (482, 372)]
[(415, 283), (481, 376)]
[(416, 290), (477, 380)]
[(412, 288), (483, 377)]
[(411, 279), (477, 381)]
[(410, 286), (481, 382)]
[(410, 280), (480, 381)]
[(410, 283), (486, 385)]
[(407, 286), (483, 384)]
[(414, 281), (479, 378)]
[(414, 283), (489, 385)]
[(411, 277), (487, 387)]
[(403, 273), (484, 386)]
[(402, 280), (484, 388)]
[(407, 283), (488, 380)]
[(403, 279), (489, 384)]
[(410, 280), (496, 394)]
[(403, 277), (488, 391)]
[(408, 278), (480, 390)]
[(405, 280), (483, 390)]
[(409, 284), (483, 386)]
[(405, 277), (479, 393)]
[(400, 277), (483, 392)]
[(405, 281), (488, 389)]
[(405, 270), (489, 396)]
[(404, 281), (479, 389)]
[(402, 280), (482, 391)]
[(404, 274), (475, 386)]
[(407, 272), (488, 394)]
[(406, 280), (480, 392)]
[(395, 273), (484, 394)]
[(402, 280), (472, 387)]
[(399, 278), (477, 387)]
[(401, 283), (473, 396)]
[(401, 287), (472, 385)]
[(403, 278), (472, 384)]
[(398, 276), (472, 392)]
[(398, 282), (473, 389)]
[(398, 280), (478, 390)]
[(397, 276), (469, 393)]
[(398, 280), (478, 404)]
[(401, 284), (470, 391)]
[(396, 275), (477, 388)]
[(392, 276), (473, 386)]
[(396, 277), (479, 395)]
[(396, 277), (489, 392)]
[(396, 277), (475, 400)]
[(390, 266), (474, 383)]
[(389, 280), (476, 392)]
[(393, 275), (479, 396)]
[(391, 281), (465, 379)]
[(392, 274), (474, 391)]
[(388, 275), (472, 388)]
[(388, 271), (474, 392)]
[(389, 276), (464, 390)]
[(391, 280), (470, 385)]
[(385, 274), (470, 388)]
[(387, 275), (479, 396)]
[(389, 276), (470, 394)]
[(390, 282), (466, 391)]
[(379, 271), (477, 389)]
[(384, 276), (476, 393)]
[(384, 272), (478, 401)]
[(383, 271), (478, 407)]
[(375, 274), (476, 400)]
[(380, 278), (482, 411)]
[(380, 273), (482, 401)]
[(384, 272), (488, 403)]
[(385, 278), (485, 402)]
[(383, 274), (487, 407)]
[(376, 278), (468, 391)]
[(377, 277), (471, 404)]
[(376, 275), (470, 404)]
[(382, 277), (477, 403)]
[(377, 279), (475, 402)]
[(380, 276), (478, 406)]
[(379, 277), (478, 411)]
[(380, 272), (476, 406)]
[(379, 276), (465, 407)]
[(375, 273), (466, 400)]
[(373, 269), (470, 395)]
[(378, 273), (467, 389)]
[(380, 273), (468, 405)]
[(373, 276), (461, 406)]
[(374, 271), (472, 409)]
[(367, 272), (467, 410)]
[(372, 278), (473, 415)]
[(370, 280), (466, 410)]
[(363, 275), (474, 414)]
[(363, 271), (477, 406)]
[(370, 276), (473, 391)]
[(361, 275), (472, 401)]
[(367, 276), (455, 389)]
[(368, 279), (461, 392)]
[(358, 273), (460, 396)]
[(362, 279), (464, 392)]
[(361, 274), (454, 399)]
[(360, 271), (449, 394)]
[(364, 274), (453, 398)]
[(364, 273), (456, 392)]
[(361, 274), (468, 395)]
[(360, 277), (473, 411)]
[(360, 281), (453, 399)]
[(360, 266), (457, 402)]
[(363, 276), (460, 398)]
[(356, 271), (460, 406)]
[(352, 273), (450, 400)]
[(356, 258), (452, 396)]
[(360, 275), (452, 398)]
[(356, 269), (459, 401)]
[(350, 273), (455, 406)]
[(353, 281), (452, 402)]
[(351, 272), (455, 401)]
[(349, 278), (451, 413)]
[(343, 271), (452, 405)]
[(351, 274), (460, 400)]
[(343, 268), (458, 405)]
[(351, 273), (465, 410)]
[(344, 269), (469, 413)]
[(345, 270), (472, 407)]
[(349, 275), (468, 409)]
[(340, 275), (455, 410)]
[(349, 274), (463, 411)]
[(339, 275), (458, 417)]
[(338, 277), (459, 416)]
[(339, 280), (444, 410)]
[(347, 279), (460, 405)]
[(339, 270), (454, 414)]
[(340, 272), (452, 416)]
[(336, 276), (456, 416)]
[(342, 272), (451, 423)]
[(336, 275), (441, 397)]
[(333, 271), (454, 419)]
[(326, 268), (441, 409)]
[(343, 276), (439, 394)]
[(332, 260), (451, 404)]
[(334, 270), (450, 420)]
[(337, 260), (458, 416)]
[(345, 277), (456, 419)]
[(332, 268), (446, 409)]
[(311, 263), (444, 409)]
[(324, 257), (447, 413)]
[(321, 272), (451, 413)]
[(328, 279), (452, 414)]
[(331, 276), (451, 408)]
[(330, 281), (452, 426)]
[(318, 283), (452, 423)]
[(321, 289), (441, 413)]
[(322, 284), (453, 416)]
[(323, 274), (452, 409)]
[(325, 277), (446, 421)]
[(320, 271), (454, 416)]
[(324, 279), (457, 413)]
[(322, 275), (455, 412)]
[(336, 277), (465, 427)]
[(317, 274), (450, 420)]
[(324, 274), (462, 423)]
[(312, 270), (457, 425)]
[(321, 268), (454, 415)]
[(319, 274), (471, 434)]
[(328, 266), (450, 411)]
[(312, 257), (446, 417)]
[(323, 273), (447, 415)]
[(317, 266), (449, 411)]
[(313, 269), (456, 427)]
[(310, 261), (466, 446)]
[(302, 268), (456, 425)]
[(302, 266), (456, 428)]
[(309, 267), (458, 423)]
[(298, 265), (446, 420)]
[(302, 271), (440, 427)]
[(297, 281), (445, 428)]
[(307, 276), (444, 419)]
[(311, 282), (433, 420)]
[(306, 282), (440, 419)]
[(304, 278), (443, 416)]
[(302, 278), (449, 420)]
[(318, 284), (445, 432)]
[(293, 286), (451, 435)]
[(307, 286), (444, 433)]
[(292, 281), (444, 421)]
[(281, 249), (456, 437)]
[(285, 262), (439, 441)]
[(297, 276), (445, 436)]
[(294, 257), (461, 430)]
[(303, 272), (437, 434)]
[(312, 269), (445, 433)]
[(311, 259), (428, 438)]
[(302, 254), (421, 439)]
[(314, 259), (427, 442)]
[(313, 260), (435, 439)]
[(311, 262), (436, 451)]
[(315, 262), (434, 441)]
[(317, 268), (431, 446)]
[(302, 256), (437, 441)]
[(308, 263), (442, 448)]
[(314, 274), (442, 452)]
[(308, 263), (431, 436)]
[(310, 269), (435, 441)]
[(308, 268), (441, 455)]
[(305, 267), (427, 450)]
[(300, 270), (425, 439)]
[(311, 267), (438, 442)]
[(303, 269), (437, 442)]
[(294, 270), (443, 451)]
[(301, 270), (437, 451)]
[(289, 263), (454, 462)]
[(297, 273), (463, 466)]
[(307, 270), (447, 461)]
[(290, 267), (444, 477)]
[(293, 260), (445, 457)]
[(279, 263), (455, 459)]
[(286, 266), (465, 461)]
[(292, 270), (465, 461)]
[(299, 261), (451, 467)]
[(301, 267), (446, 459)]
[(298, 278), (438, 450)]
[(300, 272), (466, 469)]
[(294, 264), (459, 462)]
[(296, 269), (461, 464)]
[(292, 265), (462, 464)]
[(297, 271), (458, 471)]
[(284, 270), (470, 476)]
[(287, 268), (461, 472)]
[(281, 275), (464, 465)]
[(291, 273), (474, 472)]
[(294, 271), (472, 467)]
[(283, 270), (463, 483)]
[(257, 271), (478, 465)]
[(280, 263), (476, 470)]
[(283, 268), (467, 455)]
[(273, 263), (479, 476)]
[(275, 268), (459, 463)]
[(293, 268), (477, 469)]
[(296, 271), (457, 448)]
[(293, 275), (458, 457)]
[(277, 271), (464, 469)]
[(274, 276), (454, 464)]
[(293, 289), (466, 464)]
[(276, 259), (463, 474)]
[(285, 274), (463, 463)]
[(285, 271), (464, 465)]
[(271, 267), (476, 478)]
[(277, 277), (476, 484)]
[(292, 281), (454, 483)]
[(307, 281), (451, 465)]
[(272, 258), (478, 477)]
[(282, 265), (481, 484)]
[(301, 267), (476, 481)]
[(301, 275), (451, 480)]
[(297, 283), (458, 476)]
[(286, 268), (486, 478)]
[(303, 275), (470, 474)]
[(301, 275), (463, 472)]
[(303, 278), (461, 476)]
[(304, 270), (476, 472)]
[(298, 266), (465, 473)]
[(301, 272), (469, 475)]
[(309, 273), (473, 465)]
[(293, 262), (473, 472)]
[(291, 267), (478, 480)]
[(299, 279), (488, 487)]
[(317, 266), (478, 477)]
[(309, 268), (482, 485)]
[(294, 275), (474, 475)]
[(300, 276), (495, 486)]
[(302, 273), (490, 484)]
[(299, 269), (492, 480)]
[(289, 269), (487, 485)]
[(295, 272), (488, 481)]
[(307, 262), (508, 486)]
[(263, 258), (478, 488)]
[(267, 251), (473, 492)]
[(285, 267), (506, 496)]
[(281, 253), (483, 485)]
[(281, 260), (492, 494)]
[(280, 254), (480, 490)]
[(289, 262), (486, 483)]
[(292, 263), (511, 499)]
[(291, 250), (488, 482)]
[(289, 249), (477, 499)]
[(288, 260), (469, 485)]
[(314, 264), (489, 495)]
[(304, 268), (492, 481)]
[(315, 271), (504, 480)]
[(292, 273), (483, 502)]
[(277, 271), (484, 497)]
[(280, 269), (501, 493)]
[(278, 275), (489, 492)]
[(280, 273), (485, 499)]
[(271, 255), (498, 505)]
[(267, 244), (508, 483)]
[(280, 264), (496, 499)]
[(276, 261), (503, 502)]
[(281, 270), (501, 496)]
[(287, 270), (508, 500)]
[(293, 262), (494, 500)]
[(268, 247), (500, 492)]
[(283, 242), (504, 497)]
[(315, 251), (517, 498)]
[(299, 251), (510, 494)]
[(306, 250), (486, 501)]
[(286, 253), (487, 500)]
[(295, 244), (508, 498)]
[(284, 252), (503, 497)]
[(275, 254), (495, 499)]
[(289, 241), (514, 497)]
[(284, 249), (505, 497)]
[(293, 248), (501, 500)]
[(298, 241), (515, 505)]
[(316, 249), (504, 503)]
[(310, 247), (488, 493)]
[(301, 247), (485, 498)]
[(291, 247), (481, 506)]
[(292, 244), (493, 507)]
[(288, 248), (502, 501)]
[(289, 246), (479, 498)]
[(294, 241), (495, 506)]
[(275, 247), (511, 498)]
[(273, 248), (513, 499)]
[(294, 246), (504, 501)]
[(291, 245), (515, 510)]
[(307, 245), (506, 498)]
[(285, 248), (527, 500)]
[(307, 239), (511, 501)]
[(286, 256), (510, 497)]
[(290, 242), (517, 503)]
[(295, 249), (513, 499)]
[(287, 245), (517, 505)]
[(300, 246), (510, 504)]
[(298, 240), (516, 505)]
[(307, 245), (497, 496)]
[(288, 248), (527, 495)]
[(285, 251), (523, 505)]
[(288, 224), (535, 500)]
[(298, 221), (521, 502)]
[(312, 237), (515, 501)]
[(325, 235), (504, 499)]
[(305, 224), (507, 496)]
[(297, 235), (490, 501)]
[(305, 239), (514, 497)]
[(310, 240), (503, 500)]
[(315, 241), (511, 503)]
[(301, 234), (501, 504)]
[(309, 239), (521, 500)]
[(302, 242), (505, 503)]
[(308, 239), (509, 500)]
[(310, 239), (520, 507)]
[(310, 245), (522, 508)]
[(301, 231), (510, 497)]
[(285, 234), (495, 503)]
[(297, 232), (510, 500)]
[(314, 235), (534, 491)]
[(310, 233), (531, 489)]
[(322, 235), (530, 496)]
[(324, 223), (522, 498)]
[(308, 240), (521, 504)]
[(303, 227), (515, 506)]
[(313, 245), (530, 501)]
[(303, 217), (527, 499)]
[(321, 232), (529, 505)]
[(311, 233), (522, 507)]
[(306, 231), (528, 505)]
[(312, 231), (543, 501)]
[(323, 226), (537, 509)]
[(299, 238), (554, 512)]
[(303, 220), (540, 499)]
[(321, 230), (544, 501)]
[(315, 232), (537, 511)]
[(288, 226), (537, 503)]
[(320, 229), (545, 506)]
[(306, 229), (549, 495)]
[(298, 221), (556, 503)]
[(294, 230), (556, 495)]
[(326, 219), (563, 501)]
[(322, 230), (541, 505)]
[(326, 225), (533, 498)]
[(316, 219), (555, 501)]
[(299, 220), (564, 513)]
[(325, 213), (539, 504)]
[(307, 215), (535, 503)]
[(306, 229), (571, 501)]
[(293, 202), (553, 504)]
[(298, 216), (600, 500)]
[(329, 218), (555, 503)]
[(313, 216), (563, 505)]
[(329, 224), (556, 502)]
[(329, 226), (552, 510)]
[(311, 210), (566, 493)]
[(320, 219), (569, 499)]
[(316, 195), (558, 498)]
[(312, 195), (555, 500)]
[(311, 202), (551, 508)]
[(315, 204), (554, 501)]
[(338, 213), (562, 501)]
[(329, 205), (562, 501)]
[(348, 227), (556, 503)]
[(326, 220), (559, 500)]
[(317, 198), (571, 505)]
[(325, 201), (571, 506)]
[(327, 211), (558, 512)]
[(304, 203), (573, 500)]
[(312, 222), (569, 497)]
[(330, 204), (563, 497)]
[(314, 202), (572, 501)]
[(257, 193), (566, 501)]
[(305, 208), (556, 489)]
[(306, 225), (559, 501)]
[(346, 196), (571, 502)]
[(328, 200), (565, 501)]
[(336, 210), (576, 501)]
[(321, 213), (553, 503)]
[(320, 217), (562, 502)]
[(297, 215), (592, 489)]
[(331, 198), (599, 493)]
[(308, 173), (609, 500)]
[(315, 179), (615, 512)]
[(311, 169), (610, 490)]
[(283, 157), (589, 500)]
[(316, 158), (606, 494)]
[(329, 161), (600, 506)]
[(327, 163), (587, 501)]
[(307, 144), (573, 496)]
[(289, 157), (594, 496)]
[(343, 146), (603, 502)]
[(332, 162), (601, 510)]
[(315, 161), (600, 508)]
[(335, 179), (598, 511)]
[(322, 173), (594, 503)]
[(290, 175), (612, 512)]
[(304, 178), (585, 502)]
[(289, 184), (586, 510)]
[(285, 173), (614, 520)]
[(321, 184), (596, 512)]
[(300, 209), (606, 520)]
[(340, 188), (607, 503)]
[(327, 190), (605, 508)]
[(335, 186), (599, 505)]
[(314, 183), (591, 504)]
[(329, 164), (577, 495)]
[(336, 187), (613, 504)]
[(311, 163), (604, 506)]
[(328, 178), (589, 500)]
[(334, 180), (589, 492)]
[(325, 184), (616, 508)]
[(325, 159), (605, 507)]
[(326, 164), (603, 502)]
[(334, 156), (600, 496)]
[(342, 172), (575, 504)]
[(333, 173), (603, 503)]
[(336, 174), (609, 505)]
[(341, 177), (614, 494)]
[(333, 183), (606, 498)]
[(335, 186), (597, 498)]
[(308, 174), (615, 505)]
[(358, 157), (614, 500)]
[(310, 148), (622, 515)]
[(348, 158), (618, 515)]
[(348, 177), (626, 516)]
[(360, 166), (626, 500)]
[(384, 183), (615, 517)]
[(356, 165), (613, 496)]
[(362, 167), (609, 526)]
[(352, 170), (628, 526)]
[(373, 151), (637, 519)]
[(385, 148), (619, 522)]
[(347, 151), (661, 514)]
[(379, 152), (646, 512)]
[(390, 144), (668, 544)]
[(404, 165), (666, 525)]
[(367, 161), (660, 539)]
[(410, 163), (682, 521)]
[(402, 167), (672, 528)]
[(408, 190), (681, 517)]
[(424, 157), (680, 519)]
[(396, 126), (694, 524)]
[(439, 160), (689, 534)]
[(452, 172), (696, 522)]
[(436, 181), (712, 517)]
[(411, 154), (711, 523)]
[(444, 168), (717, 531)]
[(451, 175), (710, 528)]
[(459, 178), (719, 516)]
[(445, 160), (718, 503)]
[(467, 184), (718, 502)]
[(426, 159), (716, 503)]
[(482, 158), (718, 507)]
[(431, 167), (719, 503)]
[(406, 144), (718, 505)]
[(462, 177), (717, 505)]
[(480, 150), (718, 503)]
[(494, 171), (719, 502)]
[(453, 149), (719, 505)]
[(536, 157), (718, 503)]
[(531, 165), (719, 507)]
[(517, 157), (719, 504)]
[(542, 162), (719, 506)]
[(549, 140), (719, 501)]
[(532, 151), (719, 504)]
